"","UWI","Source","Survey.ID","Depth.Measured","Depth.True.Vertical","Drift.Angle","Drift.Direction","North.South.Coordinate.Distance","North.South.Coordinate.Direction","East.West.Coordinate.Distance","East.West.Coordinate.Direction","Type","Point.Type.Name","PRODFit.Formation.Code","PRODFit.Formation.Name","Surface_longitude","Surface_Latitude","Well.Name","Lease","ns_meter","ew_meter","LatitudeVector","LongitudeVector","UWI_10","MaxDepth","year","RowOrder","Nearest Distance","Formation"
"6505","42317409800000","PI","1",13023,-8548.21,91.69,346.63,4411.56,"N",708.3,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1344.644,-215.8898,32.36568,-101.9637,4231740980,-8561.56,NA,6505,63.76644,"WFMPA"
"6506","42317409800000","PI","1",13118,-8545.73,91.31,347.09,4504.04,"N",729.88,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1372.831,-222.4674,32.36594,-101.9638,4231740980,-8561.56,NA,6506,63.76644,"WFMPA"
"6507","42317409800000","PI","1",13213,-8544.14,90.6,347.37,4596.68,"N",750.88,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1401.068,-228.8682,32.36619,-101.9638,4231740980,-8561.56,NA,6507,63.76644,"WFMPA"
"6508","42317409800000","PI","1",13307,-8546.01,87.13,347.02,4688.31,"N",771.71,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1428.997,-235.2172,32.36644,-101.9639,4231740980,-8561.56,NA,6508,63.76644,"WFMPA"
"6509","42317409800000","PI","1",13400,-8550.18,87.73,346.51,4778.75,"N",792.98,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1456.563,-241.7003,32.36669,-101.964,4231740980,-8561.56,NA,6509,63.76644,"WFMPA"
"6510","42317409800000","PI","1",13495,-8552.95,88.92,346.07,4871,"N",815.48,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1484.681,-248.5583,32.36694,-101.964,4231740980,-8561.56,NA,6510,63.76644,"WFMPA"
"6511","42317409800000","PI","1",13589,-8553.76,90.1,347.04,4962.42,"N",837.34,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1512.546,-255.2212,32.36719,-101.9641,4231740980,-8561.56,NA,6511,63.76644,"WFMPA"
"6512","42317409800000","PI","1",13684,-8551.85,92.2,347.29,5055.02,"N",858.44,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1540.77,-261.6525,32.36744,-101.9642,4231740980,-8561.56,NA,6512,63.76644,"WFMPA"
"6513","42317409800000","PI","1",13779,-8548.07,92.36,347.71,5147.69,"N",878.98,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1569.016,-267.9131,32.3677,-101.9642,4231740980,-8561.56,NA,6513,63.76644,"WFMPA"
"6514","42317409800000","PI","1",13874,-8544.85,91.53,348.03,5240.52,"N",898.93,"W",NA,NA,NA,NA,-101.9614,32.3536,"PEELER C 14JM","PEELER",1597.311,-273.9939,32.36795,-101.9643,4231740980,-8561.56,NA,6514,63.76644,"WFMPA"
